simulation,Parameter,Estimate,model
18,sim_wide_lf,0.6014718965012855,NA
18,sim_wtd,0.07859854198771979,NA
18,sim_moose,-0.058778454045879204,NA
18,sim_squirrel,0.0793298544846524,NA
18,sim_hare,0.1747948464392323,NA
18,sim_wolf,0.21455106450220096,NA
18,sim_lynx,0.16778362200835367,NA
18,sim_fisher,0.02658450470678107,NA
18,NA,NA,sim_global
19,(Intercept),-1.4530538966890092,NA
19,sim_nat_land,-0.7190083352684915,NA
19,sim_wide_lf,0.5991098952703223,NA
19,sim_wtd,0.027562250071355154,NA
19,sim_moose,-0.054995238180304204,NA
19,sim_squirrel,0.1168662302898549,NA
19,sim_hare,0.22608367293280734,NA
19,sim_wolf,0.2079691684615101,NA
19,sim_lynx,0.1461053363139425,NA
19,sim_fisher,0.04561212337489932,NA
19,NA,NA,sim_global
20,(Intercept),-0.9824570314459367,NA
20,sim_nat_land,-0.2873732427542396,NA
20,sim_wide_lf,0.08020617844166283,NA
20,sim_wtd,0.05009849673334933,NA
20,sim_moose,-0.0448917086689172,NA
20,sim_squirrel,0.048573020407342966,NA
20,sim_hare,0.2034816553125126,NA
20,sim_wolf,0.1627594697390502,NA
20,sim_lynx,0.13700252535129392,NA
20,sim_fisher,0.05892467368775994,NA
20,NA,NA,sim_global
21,(Intercept),-0.9273395117672745,NA
21,sim_nat_land,-0.4537474207498188,NA
21,sim_wide_lf,0.5832980868706316,NA
21,sim_wtd,0.061918754805829174,NA
21,sim_moose,-0.059142381572426087,NA
21,sim_squirrel,0.04317906986432114,NA
21,sim_hare,0.1596114557219737,NA
21,sim_wolf,0.18235347529903354,NA
21,sim_lynx,0.1493698489641237,NA
21,sim_fisher,-0.03711531091549655,NA
21,NA,NA,sim_global
22,(Intercept),-1.5364473528571216,NA
22,sim_nat_land,-0.33210830712764894,NA
22,sim_wide_lf,0.5869111150625963,NA
22,sim_wtd,0.07698282215877209,NA
22,sim_moose,-0.06232921269554209,NA
22,sim_squirrel,0.08251719188898105,NA
22,sim_hare,0.22620739722281033,NA
22,sim_wolf,0.1905969634644537,NA
22,sim_lynx,0.18978566629861104,NA
22,sim_fisher,0.013298940532500528,NA
22,NA,NA,sim_global
23,(Intercept),-1.5310586670068158,NA
23,sim_nat_land,-0.47457930864284426,NA
23,sim_wide_lf,0.5547210966051949,NA
23,sim_wtd,0.027672145922335356,NA
23,sim_moose,-0.023312938252615788,NA
23,sim_squirrel,0.0953829815259318,NA
23,sim_hare,0.20684787478963906,NA
23,sim_wolf,0.16641966473603476,NA
23,sim_lynx,0.14408405360054954,NA
23,sim_fisher,-0.006224250112295054,NA
23,NA,NA,sim_global
24,(Intercept),-1.2420844709046328,NA
24,sim_nat_land,-0.3742155516157528,NA
24,sim_wide_lf,0.49585103431900623,NA
24,sim_wtd,0.013661921905115053,NA
24,sim_moose,-0.09710498299088133,NA
24,sim_squirrel,0.08893770280460413,NA
24,sim_hare,0.1841157522582252,NA
24,sim_wolf,0.17928087611483046,NA
24,sim_lynx,0.1987628413387263,NA
24,sim_fisher,-0.014352072467421009,NA
24,NA,NA,sim_global
25,(Intercept),-1.7100443590794776,NA
25,sim_nat_land,-0.295251837739793,NA
25,sim_wide_lf,0.5396044205077339,NA
25,sim_wtd,0.009481297629584301,NA
25,sim_moose,-0.07833807820006045,NA
25,sim_squirrel,0.12561010859441568,NA
25,sim_hare,0.19929920795154327,NA
25,sim_wolf,0.23155205712350913,NA
25,sim_lynx,0.19927870859200914,NA
25,sim_fisher,-0.006775505927787011,NA
25,NA,NA,sim_global
26,(Intercept),-1.6977699743264094,NA
26,sim_nat_land,-0.199961661846426,NA
26,sim_wide_lf,0.41776076382919125,NA
26,sim_wtd,0.03889160439481591,NA
26,sim_moose,-0.06439539932174088,NA
26,sim_squirrel,0.10826941169807648,NA
26,sim_hare,0.19920312920173594,NA
26,sim_wolf,0.18147932751288742,NA
26,sim_lynx,0.16684912410445987,NA
26,sim_fisher,0.04380179669992104,NA
26,NA,NA,sim_global_int
27,(Intercept),-1.923485747207205,NA
27,sim_nat_land,-0.47863003184784225,NA
27,sim_wide_lf,0.74241610732495,NA
27,sim_wtd,0.04555763578604544,NA
27,sim_moose,-0.08145833148305974,NA
27,sim_squirrel,0.10099105798395419,NA
27,sim_hare,0.21075422906189278,NA
27,sim_wolf,0.22184141373645166,NA
27,sim_lynx,0.18838653975105002,NA
27,sim_fisher,0.01590026553374469,NA
27,NA,NA,sim_global
28,(Intercept),-1.5399488495298588,NA
28,sim_nat_land,-0.37107818541214244,NA
28,sim_wide_lf,0.5493609959949499,NA
28,sim_wtd,0.15847573377769963,NA
28,sim_moose,-0.053473951761572706,NA
28,sim_squirrel,0.09325465130755528,NA
28,sim_hare,0.15009312974034228,NA
28,sim_wolf,0.19665554562331258,NA
28,sim_lynx,0.17129130773794082,NA
28,sim_fisher,0.03432552205053022,NA
28,NA,NA,sim_global
29,(Intercept),-1.4507752831895369,NA
29,sim_nat_land,-0.4349487653495596,NA
29,sim_wide_lf,0.41800897048052776,NA
29,sim_wtd,0.061722315570183844,NA
29,sim_moose,-0.073841858471816,NA
29,sim_squirrel,0.10641269377397089,NA
29,sim_hare,0.16385627158397084,NA
29,sim_wolf,0.21808806718210993,NA
29,sim_lynx,0.18002939809631122,NA
29,sim_fisher,0.06311328024040164,NA
29,NA,NA,sim_global
30,(Intercept),-1.3716017419674515,NA
30,sim_nat_land,-0.6112721007520026,NA
30,sim_wide_lf,0.7442630504943698,NA
30,sim_wtd,0.058031667557846715,NA
30,sim_moose,-0.054256513730832095,NA
30,sim_squirrel,0.08456065834204257,NA
30,sim_hare,0.20827185783371302,NA
30,sim_wolf,0.16858683748188125,NA
30,sim_lynx,0.1371167375859136,NA
30,sim_fisher,0.020883083184758844,NA
30,NA,NA,sim_global
31,(Intercept),-1.3670358149029218,NA
31,sim_nat_land,-0.3730233974615309,NA
31,sim_wide_lf,0.3967656985242515,NA
31,sim_wtd,0.08992732369863654,NA
31,sim_moose,-0.05852109135228878,NA
31,sim_squirrel,0.07986930261755135,NA
31,sim_hare,0.18857515059644372,NA
31,sim_wolf,0.18488047192729237,NA
31,sim_lynx,0.16455503534525634,NA
31,sim_fisher,-0.00683492201952269,NA
31,NA,NA,sim_global
32,(Intercept),-1.343309641009248,NA
32,sim_nat_land,-0.39340759361835426,NA
32,sim_wide_lf,0.7046439071433133,NA
32,sim_wtd,0.04694201398624029,NA
32,sim_moose,-0.057490103033247975,NA
32,sim_squirrel,0.09301147723578668,NA
32,sim_hare,0.2274217575466415,NA
32,sim_wolf,0.17642468886334894,NA
32,sim_lynx,0.17295751954962454,NA
32,sim_fisher,-0.007660742284293526,NA
32,NA,NA,sim_global
33,(Intercept),-1.479662328142318,NA
33,sim_nat_land,-0.15103145578266525,NA
