array,site,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,nat_land,coyote_pres,coyote_abs,coyote_tot,fisher,snowshoe_hare,white_tailed_deer,lynx,red_squirrel,moose,grey_wolf
LU15,LU15_61,0.00892165499999999,7.955500000000001e-4,0.007469774,0.020137156,0.008046742,0.007917226,1.000000001,2,10,6,1,35,38,8,3,8,0
LU21,LU21_106,0,0,1.34893e-4,0,6.32159e-4,0,0.9416770159999999,1,11,2,0,19,25,1,1,4,3
LU21,LU21_10,0,0,3.36841e-4,0,6.583239999999998e-4,0,0.9468510769999999,0,12,0,1,0,19,0,6,8,2
LU21,LU21_16,0,0,0.00135065399999999,0,2.0879700000000004e-4,0,0.9682010259999999,0,12,0,8,44,14,4,101,7,0
LU21,LU21_107,0,0,9.476000000000004e-4,0,8.336190000000003e-4,0,0.9464401940000001,1,11,2,0,3,13,1,6,3,1
LU21,LU21_41,0,0,0.002269116,0,9.64e-5,0,0.9961671279999998,0,12,0,2,35,1,2,4,3,0
LU21,LU21_63,0,0,6.156190000000001e-4,0,5.3461e-4,0,0.9539509020000001,2,6,3,2,0,15,1,0,2,1
LU21,LU21_27,0,0,8.891530000000004e-4,0,0,0,0.9845946049999997,0,12,0,10,0,2,0,0,1,1
LU21,LU21_23,0,0,1.0855300000000002e-4,0,6.38e-5,0,0.9589224810000003,0,12,0,1,6,2,1,6,1,0
LU21,LU21_21,0,0,1.02e-5,0,5.158539999999999e-4,0,0.9416522400000001,0,12,0,1,0,69,0,0,8,0
LU21,LU21_82,0,0,1.3690900000000003e-4,0,9.30011e-4,0,0.960773538,3,9,3,1,1,35,3,3,11,0
LU21,LU21_871,0,0,0,0,6.55743e-4,0,0.9418296649999999,2,10,2,1,1,79,4,0,17,2
LU21,LU21_164,0,0,7.26394e-4,0,1.95398e-4,0,0.9579003139999994,3,9,7,0,0,24,0,0,6,0
LU21,LU21_36,0,0,0.002050568,0,1.7840000000000003e-4,0,0.9959639969999998,2,10,2,2,0,32,0,0,11,9
LU21,LU21_14,0,0,0.001368621,0,2.09e-6,0,0.9902638650000001,0,12,0,2,3,21,2,3,6,2
LU21,LU21_32,0,8.892880000000002e-4,0.001766147,0,1.91198e-4,0,0.9913720029999997,0,12,0,0,0,0,0,0,8,0
LU21,LU21_126,0,0,4.85479e-4,0,7.950000000000002e-5,0,0.983993023,0,12,0,0,1,1,0,1,8,2
LU21,LU21_122,0,0,1.02e-5,0,5.019660000000001e-4,0,0.9346793999999996,0,12,0,2,2,11,1,0,2,4
LU21,LU21_56,0,0,1.02e-5,0,8.294050000000001e-4,0,0.9398930379999999,0,12,0,0,1,34,7,1,3,2
LU21,LU21_57,0,0,1.02e-5,0,5.606240000000001e-4,0,0.9442768469999996,0,12,0,2,3,15,0,0,14,0
LU21,LU21_09,0,0,0,0,5.488490000000001e-4,0,0.9467880179999998,3,9,3,0,0,50,1,3,8,4
LU21,LU21_98,0,4.230000000000002e-5,0.001957668,0,0.003018515,0,0.9368062829999999,0,12,0,1,0,3,0,1,6,0
LU21,LU21_119,0,0,4.90872e-4,0,6.679539999999999e-4,0,0.9360151979999999,0,12,0,0,37,18,3,1,5,0
LU21,LU21_52,0,4.230000000000002e-5,0.001008851,0,0.00136297,0,0.923864065,3,9,5,0,24,26,15,3,5,2
LU21,LU21_59,0,0,0.00296692999999999,0,0.00146777,0,0.9268766630000003,0,12,0,0,0,15,0,0,22,2
LU21,LU21_68,0,0,0.001783491,0,7.05e-5,0,0.9281595940000001,4,8,8,0,10,38,0,6,9,1
LU21,LU21_109,0,0,0.00199219399999999,0,9.67523e-4,0,0.9192992669999999,1,11,1,0,4,7,3,2,0,0
LU21,LU21_93,0.01059157799999999,0,0.001981274,0,0.001261484,0.004330426,0.8980909680000002,5,7,10,4,17,62,4,34,4,4
LU21,LU21_114,0.00635105399999999,0,0.003249773,0,0.00136181199999999,0.002636217,0.9515724670000003,0,12,0,0,0,8,0,3,3,0
LU21,LU21_105,0,0,0.003871995,0,8.892150000000003e-4,0,0.9562101230000004,1,11,1,0,0,7,2,0,3,0
LU21,LU21_100,0,4.230000000000002e-5,0.00249999499999999,0,0.002085834,0,0.9329729720000003,0,12,0,0,0,14,0,7,3,4
LU21,LU21_74,0.003266838,4.230000000000002e-5,0.002235665,0,0.002987826,0.002086633,0.9383359199999998,0,12,0,2,21,26,0,8,8,0
LU21,LU21_78,0.007987749,4.230000000000002e-5,0.002386811,0,0.003200974,0.004505998,0.9403031380000002,0,12,0,0,0,72,0,1,15,3
LU21,LU21_153,0.010935654,0,0.00296252199999999,0,0.001885683,0.004819873,0.9204007300000002,1,11,2,0,9,0,1,0,0,0
LU21,LU21_06,0,0,0.004699017,2.3e-5,5.610300000000001e-4,0,0.9303015090000003,0,12,0,2,43,10,16,16,2,2
LU21,LU21_116,0,0,0.003675093,0,7.23752e-4,0,0.9287507380000001,0,12,0,2,0,34,0,1,6,3
LU21,LU21_97,0,0,0.00227591,0,0.001483522,0,0.9378115030000002,0,12,0,0,0,37,0,1,11,1
LU01,LU01_13,0.006626055,0.003994811,0.008528257,6.92e-5,0.001593526,0.012142227,0.7042150060000001,10,5,20,6,0,138,0,0,15,0
LU01,LU01_30,0.002713641,0.00232054,0.010216123,2.96421e-4,0.004132449,0,0.9573727510000004,0,15,0,1,0,23,0,0,7,0
LU01,LU01_85,0.016324533,0.005182955,0.010259095,0.004657726,0.001617048,0,0.9157055580000002,6,6,20,3,29,64,2,31,1,3
LU01,LU01_66,0.03129902800000001,0.009855196,0.010204272,0.00328001,0.002105488,0.008990342,0.8902373790000001,7,8,12,1,57,78,5,143,16,0
LU01,LU01_76,0.032780211,0.00942401299999999,0.010879094,0.002834058,0.00158703999999999,0.011082126,0.8785563110000001,7,0,16,0,17,27,1,1,1,1
LU01,LU01_73,0.02993100299999999,0.00762244799999999,0.013187859,0.00299444199999999,0.001323626,0.01174631399999999,0.9201931289999998,11,4,23,0,192,19,4,11,10,0
LU01,LU01_75,0.02922085099999999,0.006938327,0.01186948799999999,0.002179056,0.001486086,0.012873336,0.9024456550000002,9,6,12,1,16,28,0,1,0,1
LU01,LU01_47,0.03857238700000001,0.020543277,0.003660787,0.006736291,0.00230097,0.006981035,0.7775872900000002,14,1,37,2,230,68,2,27,4,0
LU01,LU01_74,0.00818557099999999,0.003927265,0.008050246,0.003420426,0.002699294,0,0.794027981,6,9,8,5,48,48,7,4,0,3
LU01,LU01_44,0.035710177,0.01916645899999999,0.003758813,0.00608052,0.002040608,0.006427923,0.7905626550000001,7,8,21,8,32,41,0,85,0,0
LU01,LU01_41,0.00707894,0.006118805,0.005751766,3.5967000000000003e-4,0.00147133699999999,0,0.6568425569999999,6,9,11,0,31,107,0,6,4,1
LU01,LU01_64,0.01621724299999999,0.00397291199999999,0.012084126,0.005125036,0.001403665,0,0.9729424600000001,3,12,4,0,0,78,0,0,1,0
LU01,LU01_86,0.01147316299999999,0.004939229,0.01185119299999999,0.002070531,8.321600000000001e-4,0,0.9251606730000002,8,6,12,2,1,72,0,16,0,0
LU01,LU01_79,0.01707731600000001,0.00469752799999999,0.011734831,0.004122831,0.00114031,1.98278e-4,0.9379673130000001,9,6,19,1,91,10,1,2,0,0
LU01,LU01_63,0.01971911999999999,0.005031599,0.010927556,0.001618409,0.001197828,0.00185428099999999,0.9333455239999999,5,1,9,0,0,23,5,35,5,1
LU01,LU01_72,0.01549383299999999,0.005799859,0.00914018399999999,0.003430024,0.00194225599999999,0.002403139,0.9398418889999999,3,1,3,0,1,24,0,0,0,0
LU01,LU01_67,0.035865323,0.00780115299999999,0.009072199,0.00289210499999999,0.001036129,0.010840613,0.930157079,7,8,15,12,105,48,1,48,2,0
LU01,LU01_77,0.014977957,0.00594529,0.00736466699999999,8.419130000000003e-4,0.00122328,0.004888069,0.8622192630000003,1,3,4,0,0,4,0,0,0,0
LU01,LU01_32,0.032536253,0.006901547,0.00931199799999999,0.001413403,0.001028179,0.01062377199999999,0.935488678,9,6,24,0,63,28,0,47,2,0
LU01,LU01_36,0.015884564,0.005240849,0.00962416399999999,9.896160000000002e-4,0.001150657,0.003374922,0.9272153679999999,4,11,6,3,9,18,2,5,0,0
LU01,LU01_84,0.01511168699999999,0.004827519,0.01115022799999999,9.80525e-4,0.001045566,0.00494634999999999,0.9449470930000002,6,9,13,1,229,49,2,56,1,2
LU01,LU01_25,0.021870475,0.00616989899999999,0.007267883,3.17583e-4,0.00140848,0.007230701,0.8480936500000004,9,5,13,1,2,75,1,1,0,0
LU01,LU01_83,0.028566107,0.00579993099999999,0.009633065,9.85953e-4,0.001108908,0.006229487,0.9398481180000003,5,9,13,0,5,15,1,17,0,0
LU01,LU01_80,0.014235362,0.005787555,0.008712232,9.122530000000003e-4,0.001220117,0.00390697799999999,0.900802897,6,8,7,1,1,60,0,0,0,3
LU01,LU01_70,0.024506378,0.010841912,0.007092728,6.480949999999999e-4,0.001719342,0.01195750399999999,0.8963047770000002,2,7,2,1,5,55,1,10,2,2
LU01,LU01_48,0.03089200599999999,0.01466763499999999,0.00527533699999999,0.00625564099999999,0.00156077099999999,0.001817313,0.8246941200000002,5,9,11,8,3,73,1,13,0,0
LU01,LU01_45,0.022856344,0.008784032,0.00532449,0.003663921,0.001449889,0,0.7714175520000002,4,10,7,2,12,84,3,0,1,0
LU01,LU01_11,0.03322919800000001,0.017356171,0.00465866299999999,0.004362659,0.00217714199999999,0.006340588,0.7933255830000001,8,6,13,4,8,73,1,9,8,3
LU01,LU01_40,0.016452385,0.008201291,0.007488443,3.253750000000001e-4,0.00253838,0.006121843,0.9120258630000004,7,7,19,4,26,40,1,3,4,0
LU01,LU01_06,0.01232170999999999,0.008198517,0.007083481,7.13e-5,0.002800936,1.21402e-4,0.7996220100000001,4,10,6,10,7,44,0,3,4,0
LU01,LU01_10,0.014624554,0.006869506,0.008361905,0,0.00206356,0.007017883,0.9259888389999998,4,1,4,8,1,61,0,0,2,0
LU01,LU01_43,0.03272968100000001,0.017558963,0.004961736,0.004586528,0.00234771599999999,0.00900914599999999,0.8091067700000001,10,4,22,2,63,43,1,8,2,0
LU01,LU01_71,0.036388107,0.016912386,0.00424887499999999,0.004572648,0.001992865,0.00966579699999999,0.7940119190000001,11,3,39,7,5,37,1,28,0,0
LU01,LU01_22,0.03484958100000001,0.01547528699999999,0.00551730699999999,0.00483753899999999,0.00182957799999999,0.004442034,0.828452724,11,3,27,6,25,42,1,39,1,0
LU01,LU01_60,0.01425134,0.00625251,0.007425777,0.001261182,0.001366122,0.002829548,0.8458071800000001,2,12,3,0,6,83,1,0,3,0
LU01,LU01_78,0.018924489,0.005076611,0.011374812,0.001983792,0.001202054,0.001472959,0.931283125,3,11,9,0,9,16,3,0,1,0
LU01,LU01_46,0.033981156,0.01746882599999999,0.004686287,0.004783145,0.002254782,0.00976745699999999,0.7978123350000006,11,3,43,4,42,58,2,35,0,0
LU01,LU01_82,9.26147e-4,0.002865556,0.005365422,0.003474142,0.002455597,0,0.957915665,6,9,13,6,68,10,5,60,0,0
LU01,LU01_27,0.029453172,0.009145988,0.01084896799999999,0.003875646,0.001663712,0.008853046,0.909300837,11,4,41,1,4,89,0,135,2,1
LU2,LU2_03,0,0.0028199764957516,0.00784162175181951,0,0.00151108651290913,0,0.9486148331346832,1,6,1,2,5,56,0,0,0,0
LU2,LU2_05,0,0.00240177837722636,0.00535423071042797,0,0.001322204954993,0,0.7832593407193252,0,7,0,0,0,3,0,0,0,0
LU2,LU2_100,0.0108873421271173,0.00679511457941278,0.0085494724883474,0,0.00217323808264378,0.00291852775171705,0.9041324107917731,3,4,3,3,13,35,4,3,0,0
LU2,LU2_101,0,0.00232866013773088,0.00509057806476909,0,0.00130718024872011,0,0.7593652846454869,5,2,14,1,19,54,4,2,0,0
