array,site,buff_dist,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU15,LU15_22,4750,0,0.013385008,6.65888e-4,0.007490889,0.021323497000000007,0.008026204000000002,0.008130943,0.001922131,0.005314761,0.044727554999999995,0.7804468019999997,0.047843595,0.04525934900000001,0,0.08172269900000002,0.012869722000000004
LU15,LU15_61,4750,0,0.008921654999999997,7.955500000000001e-4,0.007469774,0.020137156,0.008046742,0.007917226000000003,0.002311361,0.005017443,0.04566319400000001,0.771539251,0.018502482,0.028877298,0,0.13541777600000005,0.013254956
LU21,LU21_106,4750,0,0,0,1.34893e-4,0,6.32159e-4,0,0,0,0.03883288200000001,0.6166645869999998,0.089473778,0.12268010100000003,0,0.07402566800000003,0
LU21,LU21_10,4750,0,0,0,3.36841e-4,0,6.583239999999998e-4,0,0,1.09765e-4,0.045577565,0.619941969,0.08443985799999998,0.10814920900000002,0,0.088742476,0
LU21,LU21_16,4750,0,0,0,0.0013506539999999995,0,2.0879700000000004e-4,0,0,4.08543e-4,0.024957045000000008,0.698766833,0.045140943999999995,0.103017041,0,0.09631916299999997,0
LU21,LU21_107,4750,0,0,0,9.476000000000003e-4,0,8.336190000000003e-4,0,0,1.1285700000000001e-4,0.030560902,0.718373816,0.083857642,0.07940851099999997,0,0.034239323000000016,2.4e-5
LU21,LU21_41,4750,0,0,0,0.002269116,0,9.64e-5,0,0,1.63656e-4,0.002151029,0.8675613609999998,0.04336151400000001,0.05755889700000002,0,0.025534327000000006,3.72e-5
LU21,LU21_63,4750,0,0,0,6.156190000000001e-4,0,5.3461e-4,0,0,2.727780000000001e-4,0.02696775800000001,0.64653593,0.08559568200000003,0.10274862400000002,0,0.092102908,0
LU21,LU21_27,4750,0,0,0,8.891530000000004e-4,0,0,0,0,2.06829e-4,0.004675746999999998,0.8922853609999998,6.316179999999999e-4,0.044484598999999986,0,0.04251728000000001,0
LU21,LU21_23,4750,0,0,0,1.0855300000000002e-4,0,6.38e-5,0,0,0,0.011825860999999998,0.8727656260000004,0.019119212999999993,0.028966853,0,0.026244928,0
LU21,LU21_21,4750,0,0,0,1.02e-5,0,5.158539999999999e-4,0,0,0,0.033014802,0.652240302,0.062783513,0.1399472940000001,0,0.05366632900000002,0
LU21,LU21_82,4750,0.008171930999999999,0,0,1.3690900000000003e-4,0,9.30011e-4,0,0,0,0.046421053,0.573152596,0.067550609,0.18921147100000005,0,0.08443780899999997,0
LU21,LU21_871,4750,0,0,0,0,0,6.55743e-4,0,0,0,0.040394438,0.6185257869999998,0.069322276,0.15492468500000006,0,0.058662479000000003,0
LU21,LU21_164,4750,0,0,0,7.26394e-4,0,1.95398e-4,0,0,2.727780000000001e-4,0.022837517999999994,0.6744167019999995,0.093697341,0.09977233899999997,0,0.067176414,0
LU21,LU21_36,4750,0,0,0,0.002050568000000001,0,1.7840000000000003e-4,0,0,3.97264e-4,0.007664806,0.8022880849999998,0.006639543999999998,0.10127302800000003,0,0.078098534000000025,0
LU21,LU21_14,4750,0,0,0,0.001368621,0,2.09e-6,0,0,1.4430299999999998e-4,0.01265856,0.838236846,0.013485873,0.06472757100000003,0,0.061155015,0
LU21,LU21_32,4750,0,0,8.892880000000002e-4,0.001766147,0,1.9119799999999998e-4,0,0,5.87763e-4,0.0063218239999999985,0.9133860659999997,0.002215818,0.04352889700000002,0,0.025919398000000007,0
LU21,LU21_126,4750,0,0,0,4.85479e-4,0,7.950000000000002e-5,0,0,1.103e-4,0.0059119729999999975,0.901114683,0.002087162,0.041275288,0,0.03360391700000002,0
LU21,LU21_122,4750,0,0,0,1.02e-5,0,5.019660000000001e-4,0,0,0,0.028732805999999993,0.7112863089999996,0.05415328700000003,0.11082964000000002,0,0.029677358,0
LU21,LU21_56,4750,0,0,0,1.02e-5,0,8.294050000000001e-4,0,0,0,0.03311012500000002,0.6028031609999998,0.063603834,0.16475249600000005,0,0.07562342200000004,0
LU21,LU21_57,4750,0,0,0,1.02e-5,0,5.606240000000001e-4,0,0,0,0.035231703999999996,0.6382167409999996,0.060394001999999995,0.1475672320000001,0,0.06286716799999997,0
LU21,LU21_09,4750,0,0,0,0,0,5.488490000000001e-4,0,0,7.070000000000001e-5,0.032089262,0.6291079209999998,0.091609921,0.136062597,0,0.05791831700000002,0
LU21,LU21_98,4750,0.17772146900000005,0,4.230000000000002e-5,0.001957668,0,0.0030185150000000003,0,0,1.5979400000000002e-4,0.02864877,0.6473373979999998,0.064232405,0.13836799200000005,0,0.05821971800000002,5.570000000000001e-5
LU21,LU21_119,4750,0,0,0,4.90872e-4,0,6.679539999999999e-4,0,0,7.070000000000001e-5,0.036491529,0.646083019,0.088146096,0.104055818,0,0.061238735999999995,0
LU21,LU21_52,4750,0.061587203999999986,0,4.230000000000002e-5,0.001008851,0,0.00136297,0,0,1.1285700000000001e-4,0.030635538,0.773397322,0.012998537999999999,0.04886884000000001,0,0.057963827000000016,0
LU21,LU21_59,4750,0.029821135,0,0,0.0029669299999999996,0,0.00146777,0,0,0.001622473,0.028970580000000006,0.22120704500000005,0.4842186620000002,0.19133993500000004,0,0.001140441,8.860000000000005e-5
LU21,LU21_68,4750,0.005670853999999998,0,0,0.001783491,0,7.05e-5,0,0,2.7000200000000003e-4,0.007524806999999998,0.4549187580000001,0.234697542,0.21800202400000004,0,0.013016463,5.430000000000002e-5
LU21,LU21_109,4750,0.008826427999999999,0,0,0.0019921939999999996,0,9.675230000000001e-4,0,0,2.2570800000000003e-4,0.032196620000000016,0.6643038599999997,0.07562353200000003,0.11382376500000002,0,0.03335149000000001,3.65e-5
LU21,LU21_93,4750,2.35408e-4,0.010591577999999999,0,0.0019812740000000007,0,0.001261484,0.004330426,0,2.2570800000000003e-4,0.050827824000000014,0.4759199480000001,0.17730383700000005,0.16254942200000005,0,0.03148993699999999,0.002118567
LU21,LU21_114,4750,0,0.006351053999999998,0,0.003249773000000001,0,0.0013618119999999998,0.002636217,0,5.925170000000001e-4,0.037822696,0.4328521450000002,0.204549575,0.2555216110000001,0,0.020826439999999995,7.071339999999999e-4
LU21,LU21_105,4750,0,0,0,0.003871995,0,8.892150000000003e-4,0,0,7.04057e-4,0.026593035000000008,0.5057486100000004,0.231235626,0.18169592399999995,0,0.010936928,1.63672e-4
LU21,LU21_100,4750,0.06989343799999997,0,4.230000000000002e-5,0.0024999949999999996,0,0.0020858340000000004,0,0,1.1285700000000001e-4,0.031621384,0.7597966970000002,0.024082941,0.07789518400000003,0,0.039576766,6.159999999999999e-5
LU21,LU21_74,4750,0.13800413800000005,0.003266838,4.230000000000002e-5,0.002235665,0,0.0029878260000000007,0.002086633,0,2.726419999999999e-4,0.03367419200000001,0.6728273609999996,0.052396732,0.14670959000000006,0,0.032728045,4.15285e-4
LU21,LU21_78,4750,0.097885424,0.007987749,4.230000000000002e-5,0.002386811,0,0.003200974,0.0045059980000000015,0,2.9593300000000007e-4,0.046699849000000015,0.5736686830000002,0.07968806299999998,0.21003558600000005,0,0.030210957,5.892530000000001e-4
LU21,LU21_153,4750,0.006405955,0.010935654,0,0.0029625219999999996,0,0.0018856830000000004,0.004819873,0,3.7344200000000003e-4,0.04161669100000002,0.4481046150000001,0.143778278,0.262717915,0,0.024183231,0.0013356240000000005
LU21,LU21_06,4750,0,0,0,0.004699017,2.3e-5,5.610300000000001e-4,0,0,4.932509999999999e-4,0.014075611,0.47087448500000023,0.24822529000000007,0.18835192599999995,0,0.008774197,1.9206100000000002e-4
LU21,LU21_116,4750,0.0012678680000000001,0,0,0.003675093,0,7.23752e-4,0,0,0.001655917,0.031336189000000014,0.348073488,0.369656339,0.17340307100000005,0,0.006281651,1.61322e-4
LU21,LU21_97,4750,0.011321403999999995,0,0,0.00227591,0,0.0014835220000000001,0,0,0.0015477960000000004,0.024730897999999994,0.281596237,0.408095498,0.221525406,0,0.001863464,8.860000000000005e-5
LU01,LU01_13,4750,0.01296439,0.006626055,0.003994811,0.008528257,6.92e-5,0.001593526,0.012142227,0.005830589,0.009512997,0.0032248610000000007,0.10225484400000003,0.549973004,0.008173842,0.025214876,0.040588454999999996,0.003633787000000001
LU01,LU01_30,4750,0.036194199,0.002713641,0.0023205400000000003,0.010216123,2.96421e-4,0.004132449000000001,0,0.003758313000000001,0.004426721,0.018561763000000005,0.443216526,0.2848793110000002,0.05017286500000002,0.02035487500000001,0.16054228600000006,0.0016025250000000003
LU01,LU01_85,4750,0.03202015000000001,0.016324533000000006,0.005182955,0.010259095000000003,0.004657726,0.001617048,0,0.009869340999999998,0.017847530999999996,0.033448051,0.4308138300000001,0.2759781080000001,0.013205509000000004,0.043269195,0.16226006,0.010472961999999999
LU01,LU01_66,4750,0.028476625000000005,0.03129902800000001,0.009855196000000002,0.010204272000000004,0.0032800100000000007,0.002105488,0.008990342,0.018736564,0.029610123,0.046567744999999994,0.30114173799999994,0.3733045930000002,0.023249980999999992,0.08316625000000004,0.14597332200000004,0.021685027000000003
LU01,LU01_76,4750,0.022010276,0.032780211,0.009424012999999998,0.010879094,0.002834058000000001,0.0015870399999999998,0.011082126,0.018089808,0.030735504000000004,0.05053214800000002,0.292297219,0.38058732,0.028907165000000005,0.079365346,0.12623245900000005,0.021914307
LU01,LU01_73,4750,0.003643035,0.029931002999999994,0.0076224479999999996,0.013187859000000003,0.0029944419999999995,0.0013236260000000005,0.011746313999999999,0.013797252000000003,0.027095736999999998,0.04487809700000001,0.36524778599999996,0.34325143599999985,0.039144733999999994,0.06200689800000001,0.12767107599999994,0.018304773000000003
LU01,LU01_75,4750,0.011781714999999996,0.029220850999999992,0.006938327,0.011869487999999996,0.002179056,0.0014860860000000002,0.012873336,0.013365927,0.026895534000000002,0.046107705,0.3508208640000001,0.34860610399999997,0.027608818,0.058906298,0.129302164,0.018388247000000003
LU01,LU01_47,4750,0.002419001,0.038572387000000014,0.020543277000000006,0.003660787,0.006736291,0.0023009700000000003,0.006981035,0.036831871,0.06448350500000001,0.088401073,0.28573742599999996,0.2679647510000001,0.047180878,0.163824195,0.08830316199999998,0.064858306
LU01,LU01_74,4750,0.05372789500000001,0.008185570999999999,0.003927265,0.008050246,0.003420426,0.002699294,0,0.004278957999999998,0.009241152000000002,0.04987685200000001,0.326731173,0.210059601,0.06197313800000001,0.02139791900000001,0.145387217,0.006117758
LU01,LU01_44,4750,0.0016152959999999998,0.035710177,0.019166458999999997,0.003758813000000001,0.00608052,0.002040608,0.006427923,0.034110278000000015,0.06472020800000002,0.098014811,0.19282811,0.3804120330000001,0.05235486800000002,0.1454983600000001,0.06695283299999998,0.05292204700000001
LU01,LU01_41,4750,0.029383674000000005,0.00707894,0.006118805,0.005751766,3.5967000000000003e-4,0.0014713369999999999,0,0.008668245,0.007875997999999999,0.02931375,0.153952569,0.333881214,0.11127428900000003,0.038174737,0.028420735000000006,0.006116109999999999
LU01,LU01_64,4750,0.057249194,0.016217242999999992,0.0039729119999999995,0.012084126,0.005125036,0.001403665,0,0.00687257,0.017469198,0.060254307,0.566912867,0.10946055,0.036052745,0.001768112,0.20026199100000006,0.020735573999999996
LU01,LU01_86,4750,0.008117000999999999,0.011473162999999998,0.004939229000000001,0.011851192999999998,0.002070531,8.321600000000001e-4,0,0.008230627,0.020838280000000004,0.031722202,0.5774318700000002,0.175163067,0.012219203000000003,0.007831332,0.128624331,0.023904553
LU01,LU01_79,4750,0.04665737000000001,0.017077316000000013,0.004697527999999999,0.011734831,0.004122831,0.00114031,1.98278e-4,0.008499467999999998,0.019389464999999998,0.053449686,0.570168219,0.10905840399999997,0.030830675,4.5684500000000005e-4,0.17446032900000005,0.022970774000000003
LU01,LU01_63,4750,0.024717568999999995,0.019719119999999993,0.005031599,0.010927556,0.001618409,0.0011978280000000004,0.0018542809999999997,0.007810244999999999,0.015726142,0.045756331,0.588053877,0.15034658800000006,0.03019568,0,0.118993048,0.021389422
LU01,LU01_72,4750,0.01616066,0.015493832999999999,0.005799859,0.009140183999999996,0.0034300240000000007,0.0019422559999999998,0.002403139,0.008808457999999998,0.018022257,0.045641795,0.5993589469999998,0.16162266499999994,0.033080501,0.024704778,0.100137981,0.010317666999999999
LU01,LU01_67,4750,0.016347447,0.035865323,0.007801152999999998,0.009072199,0.0028921049999999994,0.0010361290000000002,0.010840613,0.016048435000000007,0.03105651800000001,0.06900363,0.373991023,0.3720782640000001,0.045965877999999995,0.055107585,0.06911828399999997,0.029627249
LU01,LU01_77,4750,0.029852852999999988,0.014977957,0.0059452900000000015,0.007364666999999998,8.419130000000003e-4,0.0012232800000000002,0.004888069,0.012502571,0.028795139999999997,0.04864572900000001,0.42851098700000023,0.22903123500000006,0.05218624700000001,0.048166031,0.103845065,0.019717675000000004
LU01,LU01_32,4750,0.016210514000000006,0.032536253,0.006901547,0.009311997999999995,0.001413403,0.001028179,0.010623771999999997,0.015019302,0.026045110000000003,0.06637133899999997,0.412659264,0.341114464,0.041486448999999995,0.048737228000000014,0.07385716199999998,0.029650508000000003
LU01,LU01_36,4750,0.017969301000000007,0.015884564,0.0052408490000000005,0.009624163999999998,9.896160000000002e-4,0.0011506570000000002,0.003374922,0.011678599999999999,0.023731447,0.051128604000000015,0.454861084,0.30112713599999996,0.03475256500000001,0.036965623999999996,0.085345979,0.016965856
LU01,LU01_84,4750,0.025037438000000006,0.015111686999999995,0.004827519000000001,0.011150227999999998,9.80525e-4,0.0010455660000000004,0.004946349999999999,0.011407382999999998,0.020411804,0.05299275300000001,0.4252148170000002,0.34037799,0.041856846,0.034104713,0.08450468700000002,0.016596595
LU01,LU01_25,4750,0.029738572999999994,0.021870475000000007,0.006169898999999998,0.007267883,3.17583e-4,0.0014084800000000004,0.007230701,0.012696958,0.03263878300000001,0.05308189400000001,0.3913606640000002,0.2499314440000001,0.05195731400000001,0.053967108000000014,0.10176233400000002,0.018628171000000002
LU01,LU01_83,4750,0.018094265000000005,0.028566107,0.0057999309999999995,0.009633065,0.00098595300000000035,0.0011089080000000002,0.0062294870000000014,0.013154599000000003,0.023795130999999997,0.058405451,0.4400743650000002,0.3308262870000001,0.037776943999999986,0.041069156,0.07276507100000006,0.019813746
LU01,LU01_80,4750,0.021514898,0.014235362000000003,0.0057875550000000015,0.008712232,9.122530000000003e-4,0.001220117,0.003906977999999998,0.012087242000000003,0.025588946,0.049035673,0.453265111,0.256008958,0.04749959800000001,0.040498499,0.094993557,0.020706116000000004
LU01,LU01_70,4750,0.004209254999999998,0.024506378000000006,0.010841912,0.007092728,6.480949999999999e-4,0.001719342,0.011957503999999999,0.018446772,0.03587849600000001,0.060317282,0.2962042970000001,0.373011501,0.093746992,0.080306176,0.07302470500000004,0.03271869
LU01,LU01_48,4750,0.019905721,0.030892005999999993,0.014667634999999998,0.005275336999999998,0.0062556409999999976,0.0015607709999999999,0.001817313,0.024380861,0.054657423,0.08502114200000004,0.3084064310000001,0.3066274890000001,0.06295757899999997,0.110296393,0.061681479,0.058603654000000005
LU01,LU01_45,4750,0.03190314900000001,0.022856344,0.008784032,0.00532449,0.003663921,0.001449889,0,0.014109569,0.044184799,0.07865482500000003,0.21269071,0.3527187610000001,0.08771601600000002,0.071106895,0.03963724000000001,0.040766285
LU01,LU01_11,4750,0.0015478660000000008,0.033229198000000015,0.017356171,0.004658662999999999,0.004362659,0.0021771419999999995,0.006340588,0.030913601,0.057977535999999996,0.094697964,0.134091164,0.469847854,0.047080863,0.13120045400000005,0.04760773800000001,0.048224961
LU01,LU01_40,4750,0.015394815,0.016452385000000007,0.008201291,0.007488443000000002,3.253750000000001e-4,0.00253838,0.006121843,0.010968742999999998,0.032061449,0.037682054,0.20933837000000005,0.5654792160000004,0.045164583999999994,0.049327361000000014,0.05436163900000002,0.014461030000000003
LU01,LU01_06,4750,0.024361212,0.012321709999999998,0.008198517,0.0070834810000000034,7.13e-5,0.0028009360000000004,1.2140199999999999e-4,0.009584611,0.021329222999999998,0.030925211,0.1414960370000001,0.567234241,0.013942647,0.04523114,0.046023874,0.015908088
LU01,LU01_10,4750,0.025499756,0.014624554,0.006869506,0.008361905,0,0.00206356,0.007017883,0.008463588999999997,0.026847490999999998,0.03631906600000001,0.191823418,0.5844636739999998,0.05807830100000001,0.037034999,0.05530438,0.016332783999999996
LU01,LU01_43,4750,0.002419001,0.03272968100000001,0.017558963,0.0049617360000000004,0.004586528,0.0023477159999999997,0.009009145999999999,0.03155328,0.060588705,0.08550354200000003,0.252787562,0.34154272799999996,0.04912744700000001,0.135684207,0.080145491,0.056290733999999995
