site,Black bear,Coyote,Fisher,Moose,Other birds,Red squirrel,Snowshoe hare,Staff,Unknown,Unknown deer,Unknown mustelid,White-tailed deer,Raven,Striped skunk,Cougar,Grey wolf,Lynx,Red fox,Ruffed grouse,Unknown canid,Unknown ungulate,Short-tailed weasel,Human,Spruce grouse,Domestic dog,Porcupine,Otter,Grey jay,Owl,Other,Beaver,Marten,ATVer,Wolverine,Caribou,Long-tailed weasel,Hunter,Snowmobiler,Canada goose
LU15_28,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
LU15_29,3,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
LU15_30,2,0,0,16,2,22,43,2,2,0,1,1,0,0,0,0,5,1,5,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LU15_31,0,1,0,2,2,7,49,2,6,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
LU15_32,4,8,0,4,2,139,65,2,1,0,0,2,0,0,0,0,15,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LU15_34,0,1,0,4,0,0,4,2,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LU15_36,1,1,1,0,0,79,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU15_37,1,1,0,0,0,101,12,2,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,15,0,0,0
LU15_40,0,0,1,7,12,9,10,2,2,0,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0
LU15_41,4,1,0,1,0,3,9,2,2,3,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_43,5,1,0,5,3,10,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LU15_44,1,10,2,0,0,89,67,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_46,10,3,0,1,0,18,18,2,3,7,0,19,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LU15_58,16,7,0,35,1,22,2,2,3,0,0,2,0,0,0,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_61,19,6,1,8,0,3,35,2,2,0,0,38,0,0,0,0,8,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_06,17,0,2,2,0,16,43,2,3,0,0,10,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_09,44,3,0,8,0,3,0,2,5,5,0,50,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_10,1,0,1,8,0,6,0,2,7,1,2,19,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU21_100,56,0,0,3,1,7,0,2,5,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0
LU21_105,0,1,0,3,0,0,0,2,3,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_106,45,2,0,4,0,1,19,2,2,0,0,25,0,0,0,3,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_107,19,2,0,3,11,6,3,2,3,2,1,13,0,0,0,1,1,0,1,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
LU21_109,1,1,0,0,0,2,4,2,1,2,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_114,6,0,0,3,6,3,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_116,19,0,2,6,0,1,0,2,13,5,0,34,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
LU21_119,4,0,0,5,0,1,37,2,5,0,0,18,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_122,5,0,2,2,2,0,2,2,6,2,0,11,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
LU21_126,6,0,0,8,2,1,1,2,5,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0
LU21_14,8,0,2,6,0,3,3,2,3,0,3,21,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LU21_153,0,2,0,0,0,0,9,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_16,35,0,8,7,1,101,44,2,11,0,3,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0
LU21_164,53,7,0,6,0,0,0,2,2,1,0,24,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LU21_21,7,0,1,8,4,0,0,2,3,5,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
LU21_23,3,0,1,1,0,6,6,2,1,2,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU21_27,5,0,10,1,0,0,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0
LU21_32,2,0,0,8,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0
LU21_36,16,2,2,11,10,0,0,2,3,3,0,32,0,0,0,9,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_41,1,0,2,3,3,4,35,2,2,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
LU21_52,33,5,0,5,0,3,24,2,4,0,0,26,0,0,0,2,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_56,5,0,0,3,0,1,1,2,8,8,0,34,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_57,3,0,2,14,0,0,3,2,3,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_59,3,0,0,22,0,0,0,1,2,2,5,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
LU21_63,0,3,2,2,0,0,0,2,1,0,0,15,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU21_68,28,8,0,9,0,6,10,2,7,1,0,38,0,0,0,1,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
LU21_74,6,0,2,8,0,8,21,2,3,4,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU21_78,27,0,0,15,0,1,0,2,12,10,1,72,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
LU21_82,16,3,1,11,0,3,1,2,4,1,0,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_871,33,2,1,17,0,0,1,2,10,5,0,79,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU21_93,11,10,4,4,0,34,17,2,5,4,0,62,0,0,0,4,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_97,18,0,0,11,0,1,0,2,6,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU21_98,8,0,1,6,0,1,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
